backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
openai,run1,Full,mediastore,1.000000,0.728814,0.843137,0.923077,0.000000,0.000000,0.880000,0.000000
openai,run1,EntityOnly,mediastore,1.000000,0.677966,0.808081,0.880000,0.000000,0.000000,0.800000,0.000000
openai,run1,CorefOnly,mediastore,1.000000,0.050847,0.096774,0.133333,0.000000,0.000000,0.080000,0.000000
openai,run1,Full,teastore,1.000000,0.743989,0.853204,0.875000,0.666667,0.872727,0.826087,0.000000
openai,run1,EntityOnly,teastore,1.000000,0.612447,0.759649,0.772727,0.500000,0.716418,0.652174,0.000000
openai,run1,CorefOnly,teastore,1.000000,0.131542,0.232500,0.258065,0.000000,0.000000,0.173913,0.000000
openai,run1,Full,teammates,0.992466,0.732123,0.842644,0.594937,0.333333,0.598523,0.434783,0.019068
openai,run1,EntityOnly,teammates,1.000000,0.684822,0.812931,0.529801,0.333333,0.541137,0.358696,0.000000
openai,run1,CorefOnly,teammates,0.966038,0.158083,0.271705,0.195122,0.000000,0.000000,0.130435,0.063559
openai,run1,Full,bigbluebutton,0.911063,0.824068,0.865385,0.895105,0.666667,0.857143,0.844444,0.125062
openai,run1,EntityOnly,bigbluebutton,0.924824,0.772400,0.841768,0.820896,0.666667,0.816226,0.733333,0.107485
openai,run1,CorefOnly,bigbluebutton,0.848000,0.138653,0.238336,0.336842,0.000000,0.000000,0.200000,0.188008
openai,run1,Full,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,run1,EntityOnly,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,run1,CorefOnly,jabref,1.000000,0.117562,0.210390,0.086957,0.000000,0.000000,0.100000,0.000000
openai,run2,Full,mediastore,1.000000,0.474576,0.643678,0.808511,0.000000,0.000000,0.720000,0.000000
openai,run2,EntityOnly,mediastore,1.000000,0.423729,0.595238,0.755556,0.000000,0.000000,0.640000,0.000000
openai,run2,CorefOnly,mediastore,1.000000,0.050847,0.096774,0.133333,0.000000,0.000000,0.080000,0.000000
