project,sentence_num,label,in_gold,in_result,swattr_status,gold_elements,result_elements,text
mediastore,1,arch,True,True,has_TP,Facade,Facade,"One of the main components of Media Store is a server-side web front end, namely the Facade component, which delivers websites to the users and provides session management."
mediastore,2,other,False,False,TN,,,"To meet the user authentication requirement, registration and log-in have to be offered."
mediastore,3,arch,True,True,has_TP,Facade,Facade,"To this end, the Facade component delivers the corresponding registration and log-in pages to users."
mediastore,4,other,False,False,TN,,,"After the user has logged into the system, he or she will be forwarded to a site to list the audio files."
mediastore,5,other,False,False,TN,,,"The main functionality, however, is provided by other components."
mediastore,6,arch,True,True,has_TP,Facade,Facade,"In addition, users can browse, download, and upload audio files using the Facade component."
mediastore,7,arch,True,True,has_TP,MediaManagement,MediaManagement,"Application business logic is provided by a central business logic component, called the MediaManagement component."
mediastore,8,arch,True,True,has_TP,MediaManagement,MediaManagement,The MediaManagement component coordinates the communication of other components.
mediastore,9,arch,True,False,FN_only,MediaManagement,,"Furthermore, it fetches audio files from a specific location (e.g., a dedicated file server or a local disk) when processing download requests."
mediastore,10,other,False,False,TN,,,"As described above, to communicate with the system, users' registration and authentication are needed."
mediastore,11,arch,True,True,has_TP,UserManagement,UserManagement,The UserManagement component answers the requests for registration and authentication.
mediastore,12,arch,True,True,has_TP,UserDBAdapter,UserDBAdapter,The UserDBAdapter component queries the database.
mediastore,13,arch,True,True,has_TP,UserManagement,UserManagement,"When a user logs into the system, Media Store does not store the password in plain text, but rather the UserManagement component implements further functions to hash and salt the passwords."
mediastore,14,other,False,False,TN,,,"To reduce the risk of copyright infringements, all downloaded files are watermarked."
mediastore,15,other,False,False,TN,,,"To this end, the requested files are first reencoded."
mediastore,16,arch,True,True,has_TP,TagWatermarking,TagWatermarking,The re-encoded files are then digitally and individually watermarked by the TagWatermarking component.
mediastore,17,arch,True,True,has_TP,TagWatermarking;MediaManagement,TagWatermarking;MediaManagement,"Afterward, the MediaManagement component forwards these audio files from the TagWatermarking component to the user."
mediastore,18,other,False,False,TN,,,"Hence, each downloaded audio file is uniquely connected to a user ID can can be associated with the user if the audio file should ever appear in the public Internet."
mediastore,19,arch,True,True,has_TP,Packaging,Packaging,"To allow users to download several files at a time, we provide the Packaging component, which archives multiple audio files into a single compressed file."
mediastore,20,arch,True,False,FN_only,Reencoding,,The ReEncoder component converts the bit rates of audio files.
mediastore,21,other,False,False,TN,,,This can result in reduction of file sizes.
mediastore,22,other,False,False,TN,,,The persistence tier contains components that are concerned with the storage of audio files and their meta-data.
