backend,run,variant,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
claude,run1,Full,mediastore,1.000000,0.474576,0.643678,0.808511,0.000000,0.000000,0.720000,0.000000
claude,run1,NoEntityValid,mediastore,1.000000,0.779661,0.876190,0.962963,0.833333,0.978261,0.920000,0.000000
claude,run1,NoCitation,mediastore,1.000000,0.474576,0.643678,0.808511,0.000000,0.000000,0.720000,0.000000
claude,run1,NoValidator,mediastore,1.000000,0.779661,0.876190,0.962963,0.833333,0.978261,0.920000,0.000000
claude,run1,Full,teastore,1.000000,0.840170,0.913144,0.941176,0.888889,0.948617,0.869565,0.000000
claude,run1,NoEntityValid,teastore,0.967427,0.840170,0.899319,0.827586,0.833333,0.919540,0.869565,0.230769
claude,run1,NoCitation,teastore,0.983949,0.867044,0.921805,0.925926,0.833333,0.933852,0.913043,0.086957
claude,run1,NoValidator,teastore,0.968404,0.867044,0.914925,0.847458,0.833333,0.933852,0.913043,0.222222
claude,run1,Full,teammates,0.988165,0.773373,0.867674,0.629630,0.333333,0.622013,0.456522,0.023654
claude,run1,NoEntityValid,teammates,0.803862,0.786588,0.795131,0.581006,0.352941,0.576299,0.467391,0.209627
claude,run1,NoCitation,teammates,0.854917,0.826726,0.840585,0.655172,0.486486,0.689089,0.521739,0.178244
claude,run1,NoValidator,teammates,0.734313,0.826726,0.777784,0.603175,0.473684,0.618102,0.521739,0.294284
claude,run1,Full,bigbluebutton,0.932898,0.654676,0.769408,0.775194,0.000000,0.000000,0.666667,0.095878
claude,run1,NoEntityValid,bigbluebutton,0.845560,0.716154,0.775496,0.770370,0.000000,0.000000,0.688889,0.155840
claude,run1,NoCitation,bigbluebutton,0.850890,0.750164,0.797358,0.814286,0.000000,0.000000,0.755556,0.151327
claude,run1,NoValidator,bigbluebutton,0.778600,0.756704,0.767496,0.791667,0.000000,0.000000,0.755556,0.202982
claude,run1,Full,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
claude,run1,NoEntityValid,jabref,0.918871,1.000000,0.957720,0.936170,0.800000,0.923077,1.000000,0.093430
claude,run1,NoCitation,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run1,NoValidator,jabref,0.918871,1.000000,0.957720,0.936170,0.800000,0.923077,1.000000,0.093430
claude,run2,Full,mediastore,1.000000,0.474576,0.643678,0.808511,0.000000,0.000000,0.720000,0.000000
claude,run2,NoEntityValid,mediastore,1.000000,0.779661,0.876190,0.962963,0.833333,0.978261,0.920000,0.000000
claude,run2,NoCitation,mediastore,1.000000,0.474576,0.643678,0.808511,0.000000,0.000000,0.720000,0.000000
claude,run2,NoValidator,mediastore,1.000000,0.779661,0.876190,0.962963,0.833333,0.978261,0.920000,0.000000
claude,run2,Full,teastore,0.983444,0.840170,0.906178,0.857143,0.888889,0.948617,0.869565,0.166667
claude,run2,NoEntityValid,teastore,0.967427,0.840170,0.899319,0.827586,0.833333,0.919540,0.869565,0.230769
claude,run2,NoCitation,teastore,0.976115,0.867044,0.918352,0.862069,0.888889,0.948617,0.913043,0.192308
claude,run2,NoValidator,teastore,0.968404,0.867044,0.914925,0.847458,0.833333,0.933852,0.913043,0.222222
claude,run2,Full,teammates,0.988165,0.773373,0.867674,0.629630,0.333333,0.622013,0.456522,0.023654
claude,run2,NoEntityValid,teammates,0.839684,0.786588,0.812269,0.601156,0.363636,0.598898,0.467391,0.112344
claude,run2,NoCitation,teammates,0.833441,0.799679,0.816211,0.640000,0.387097,0.650203,0.510870,0.217730
claude,run2,NoValidator,teammates,0.729955,0.812894,0.769195,0.612903,0.411765,0.622881,0.521739,0.271031
claude,run2,Full,bigbluebutton,0.881344,0.806409,0.842213,0.857143,0.500000,0.815430,0.777778,0.121747
claude,run2,NoEntityValid,bigbluebutton,0.795266,0.812950,0.804010,0.827586,0.500000,0.783487,0.777778,0.200577
claude,run2,NoCitation,bigbluebutton,0.803215,0.816874,0.809987,0.843537,0.500000,0.803213,0.800000,0.194730
claude,run2,NoValidator,bigbluebutton,0.732403,0.823414,0.775246,0.815789,0.500000,0.772201,0.800000,0.260840
claude,run2,Full,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run2,NoEntityValid,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run2,NoCitation,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run2,NoValidator,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run3,Full,mediastore,1.000000,0.745763,0.854369,0.943396,0.833333,0.965147,0.920000,0.000000
