project,cum_pop_pct,cum_mass_pct
mediastore,0.0000,0.0000
mediastore,0.0400,0.0169
mediastore,0.0800,0.0339
mediastore,0.1200,0.0508
mediastore,0.1600,0.0678
mediastore,0.2000,0.0847
mediastore,0.2400,0.1017
mediastore,0.2800,0.1186
mediastore,0.3200,0.1356
mediastore,0.3600,0.1525
mediastore,0.4000,0.1864
mediastore,0.4400,0.2203
mediastore,0.4800,0.2542
mediastore,0.5200,0.2881
mediastore,0.5600,0.3220
mediastore,0.6000,0.3559
mediastore,0.6400,0.3898
mediastore,0.6800,0.4237
mediastore,0.7200,0.4576
mediastore,0.7600,0.5254
mediastore,0.8000,0.5932
mediastore,0.8400,0.6610
mediastore,0.8800,0.7288
mediastore,0.9200,0.7966
mediastore,0.9600,0.8983
mediastore,1.0000,1.0000
teastore,0.0000,0.0000
teastore,0.0435,0.0071
teastore,0.0870,0.0141
teastore,0.1304,0.0212
teastore,0.1739,0.0283
teastore,0.2174,0.0354
teastore,0.2609,0.0537
teastore,0.3043,0.0721
teastore,0.3478,0.0919
teastore,0.3913,0.1117
teastore,0.4348,0.1386
teastore,0.4783,0.1655
teastore,0.5217,0.1924
teastore,0.5652,0.2348
teastore,0.6087,0.2772
teastore,0.6522,0.3197
teastore,0.6957,0.3621
teastore,0.7391,0.4045
teastore,0.7826,0.4668
teastore,0.8261,0.5573
teastore,0.8696,0.6478
teastore,0.9130,0.7652
teastore,0.9565,0.8826
teastore,1.0000,1.0000
teammates,0.0000,0.0000
teammates,0.0109,0.0001
teammates,0.0217,0.0002
teammates,0.0326,0.0004
teammates,0.0435,0.0005
teammates,0.0543,0.0006
teammates,0.0652,0.0007
teammates,0.0761,0.0009
teammates,0.0870,0.0010
teammates,0.0978,0.0011
teammates,0.1087,0.0012
teammates,0.1196,0.0014
teammates,0.1304,0.0015
teammates,0.1413,0.0016
teammates,0.1522,0.0019
teammates,0.1630,0.0021
teammates,0.1739,0.0023
teammates,0.1848,0.0026
teammates,0.1957,0.0028
teammates,0.2065,0.0031
teammates,0.2174,0.0033
teammates,0.2283,0.0036
teammates,0.2391,0.0038
teammates,0.2500,0.0041
teammates,0.2609,0.0044
teammates,0.2717,0.0049
teammates,0.2826,0.0054
teammates,0.2935,0.0061
teammates,0.3043,0.0068
teammates,0.3152,0.0075
teammates,0.3261,0.0089
teammates,0.3370,0.0103
teammates,0.3478,0.0117
teammates,0.3587,0.0135
teammates,0.3696,0.0152
teammates,0.3804,0.0172
teammates,0.3913,0.0193
teammates,0.4022,0.0214
teammates,0.4130,0.0236
teammates,0.4239,0.0261
teammates,0.4348,0.0298
teammates,0.4457,0.0337
teammates,0.4565,0.0387
teammates,0.4674,0.0436
teammates,0.4783,0.0485
teammates,0.4891,0.0548
teammates,0.5000,0.0621
teammates,0.5109,0.0694
