backend,run,variant,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
claude,run1,Full,mediastore,0.980000,0.830508,0.899083,0.964286,0.666667,0.939130,0.960000,0.040000
claude,run1,NoEntityValid,mediastore,0.980000,0.830508,0.899083,0.964286,0.666667,0.939130,0.960000,0.040000
claude,run1,NoCitation,mediastore,0.981132,0.881356,0.928571,0.982456,0.666667,0.947368,1.000000,0.038462
claude,run1,NoValidator,mediastore,0.981132,0.881356,0.928571,0.982456,0.666667,0.947368,1.000000,0.038462
claude,run1,Full,teastore,0.992978,1.000000,0.996476,0.981818,0.909091,0.983607,1.000000,0.041667
claude,run1,NoEntityValid,teastore,0.983310,1.000000,0.991585,0.947368,0.833333,0.967742,1.000000,0.115385
claude,run1,NoCitation,teastore,0.986053,1.000000,0.992978,0.964286,0.833333,0.967742,1.000000,0.080000
claude,run1,NoValidator,teastore,0.983310,1.000000,0.991585,0.947368,0.833333,0.967742,1.000000,0.115385
claude,run1,Full,teammates,0.960939,0.753489,0.844663,0.617284,0.333333,0.611273,0.434783,0.051532
claude,run1,NoEntityValid,teammates,0.866555,0.766704,0.813577,0.610778,0.363636,0.615002,0.445652,0.119988
claude,run1,NoCitation,teammates,0.900417,0.772755,0.831716,0.615385,0.375000,0.629642,0.456522,0.165892
claude,run1,NoValidator,teammates,0.819681,0.785970,0.802471,0.609195,0.400000,0.628857,0.467391,0.216336
claude,run1,Full,bigbluebutton,0.905660,0.816220,0.858617,0.911565,0.000000,0.000000,0.866667,0.142221
claude,run1,NoEntityValid,bigbluebutton,0.890157,0.816220,0.851586,0.911565,0.000000,0.000000,0.866667,0.147593
claude,run1,NoCitation,bigbluebutton,0.821313,0.826684,0.823990,0.890323,0.000000,0.000000,0.888889,0.205049
claude,run1,NoValidator,bigbluebutton,0.808701,0.826684,0.817594,0.890323,0.000000,0.000000,0.888889,0.209933
claude,run1,Full,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run1,NoEntityValid,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run1,NoCitation,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run1,NoValidator,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run2,Full,mediastore,1.000000,0.796610,0.886792,0.962963,0.888889,0.977376,0.960000,0.000000
claude,run2,NoEntityValid,mediastore,1.000000,0.796610,0.886792,0.962963,0.888889,0.977376,0.960000,0.000000
claude,run2,NoCitation,mediastore,0.961538,0.847458,0.900901,0.947368,0.500000,0.888889,1.000000,0.057692
claude,run2,NoValidator,mediastore,0.961538,0.847458,0.900901,0.947368,0.500000,0.888889,1.000000,0.057692
claude,run2,Full,teastore,1.000000,0.973126,0.986380,0.981132,0.909091,0.983607,0.956522,0.000000
claude,run2,NoEntityValid,teastore,0.982857,0.973126,0.977967,0.928571,0.833333,0.952381,0.956522,0.120000
