backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
claude,run1,Full,mediastore,0.980000,0.830508,0.899083,0.964286,0.666667,0.939130,0.960000,0.040000
claude,run1,EntityOnly,mediastore,1.000000,0.728814,0.843137,0.923077,0.833333,0.948200,0.840000,0.000000
claude,run1,CorefOnly,mediastore,0.857143,0.101695,0.181818,0.187500,0.000000,0.000000,0.120000,0.250000
claude,run1,Full,teastore,0.992978,1.000000,0.996476,0.981818,0.909091,0.983607,1.000000,0.041667
claude,run1,EntityOnly,teastore,1.000000,0.681754,0.810765,0.826087,0.666667,0.813559,0.695652,0.000000
claude,run1,CorefOnly,teastore,0.992625,0.951909,0.971841,0.901961,0.500000,0.845070,0.869565,0.047619
claude,run1,Full,teammates,0.960939,0.753489,0.844663,0.617284,0.333333,0.611273,0.434783,0.051532
claude,run1,EntityOnly,teammates,0.966588,0.707423,0.816944,0.564103,0.333333,0.568336,0.380435,0.055374
claude,run1,CorefOnly,teammates,0.966791,0.449426,0.613608,0.458333,0.148148,0.378038,0.326087,0.037094
claude,run1,Full,bigbluebutton,0.905660,0.816220,0.858617,0.911565,0.000000,0.000000,0.866667,0.142221
claude,run1,EntityOnly,bigbluebutton,0.920260,0.739699,0.820160,0.814815,0.000000,0.000000,0.733333,0.126615
claude,run1,CorefOnly,bigbluebutton,0.863535,0.252453,0.390688,0.446602,0.000000,0.000000,0.266667,0.212999
claude,run1,Full,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run1,EntityOnly,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run1,CorefOnly,jabref,0.999525,0.763546,0.865743,0.842105,0.666667,0.789474,0.800000,0.000306
claude,run2,Full,mediastore,1.000000,0.796610,0.886792,0.962963,0.888889,0.977376,0.960000,0.000000
claude,run2,EntityOnly,mediastore,1.000000,0.694915,0.820000,0.901961,0.750000,0.927835,0.840000,0.000000
claude,run2,CorefOnly,mediastore,1.000000,0.322034,0.487179,0.564103,0.000000,0.000000,0.440000,0.000000
claude,run2,Full,teastore,1.000000,0.973126,0.986380,0.981132,0.909091,0.983607,0.956522,0.000000
claude,run2,EntityOnly,teastore,1.000000,0.701556,0.824605,0.826087,0.666667,0.827586,0.652174,0.000000
claude,run2,CorefOnly,teastore,1.000000,0.855728,0.922256,0.851064,0.571429,0.816327,0.782609,0.000000
claude,run2,Full,teammates,0.968461,0.750895,0.845913,0.608696,0.333333,0.606657,0.434783,0.048621
claude,run2,EntityOnly,teammates,0.971365,0.703841,0.816242,0.554839,0.333333,0.562626,0.380435,0.048964
claude,run2,CorefOnly,teammates,0.968619,0.285908,0.441499,0.305344,0.000000,0.000000,0.206522,0.052288
claude,run2,Full,bigbluebutton,0.900433,0.816220,0.856261,0.911565,0.000000,0.000000,0.866667,0.146983
claude,run2,EntityOnly,bigbluebutton,0.923013,0.729235,0.814761,0.796992,0.000000,0.000000,0.733333,0.125403
claude,run2,CorefOnly,bigbluebutton,0.855114,0.196861,0.320043,0.435644,0.000000,0.000000,0.266667,0.155352
claude,run2,Full,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run2,EntityOnly,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run2,CorefOnly,jabref,0.999525,0.763546,0.865743,0.842105,0.666667,0.789474,0.800000,0.000306
claude,run3,Full,mediastore,0.979167,0.796610,0.878505,0.945455,0.666667,0.927039,0.960000,0.040000
claude,run3,EntityOnly,mediastore,1.000000,0.694915,0.820000,0.901961,0.750000,0.927835,0.840000,0.000000
claude,run3,CorefOnly,mediastore,0.900000,0.152542,0.260870,0.242424,0.000000,0.000000,0.160000,0.200000
claude,run3,Full,teastore,0.991585,1.000000,0.995775,0.947368,1.000000,1.000000,1.000000,0.115385
claude,run3,EntityOnly,teastore,0.988166,0.708628,0.825371,0.800000,0.666667,0.842105,0.695652,0.157895
claude,run3,CorefOnly,teastore,1.000000,0.889675,0.941617,0.897959,0.750000,0.897756,0.913043,0.000000
claude,run3,Full,teammates,0.987697,0.743609,0.848446,0.603774,0.333333,0.607615,0.423913,0.025474
claude,run3,EntityOnly,teammates,0.987076,0.707423,0.824173,0.567742,0.333333,0.574163,0.380435,0.028385
claude,run3,CorefOnly,teammates,0.978578,0.423120,0.590792,0.447552,0.258065,0.443941,0.336957,0.032048
claude,run3,Full,bigbluebutton,0.888060,0.622629,0.732026,0.848921,0.000000,0.000000,0.777778,0.148179
claude,run3,EntityOnly,bigbluebutton,0.895661,0.567037,0.694433,0.778626,0.000000,0.000000,0.688889,0.141311
claude,run3,CorefOnly,bigbluebutton,0.837719,0.124918,0.217416,0.371134,0.000000,0.000000,0.244444,0.147457
claude,run3,Full,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
claude,run3,EntityOnly,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
claude,run3,CorefOnly,jabref,0.999525,0.763546,0.865743,0.842105,0.666667,0.789474,0.800000,0.000306
openai,run1,Full,mediastore,1.000000,0.830508,0.907407,0.981818,0.923077,0.990826,0.960000,0.000000
openai,run1,EntityOnly,mediastore,1.000000,0.728814,0.843137,0.923077,0.833333,0.948200,0.840000,0.000000
openai,run1,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.193548,0.000000,0.000000,0.120000,0.000000
openai,run1,Full,teastore,1.000000,0.930693,0.964103,0.961538,0.909091,0.967742,0.956522,0.000000
openai,run1,EntityOnly,teastore,1.000000,0.708628,0.829470,0.851064,0.666667,0.842105,0.739130,0.000000
openai,run1,CorefOnly,teastore,1.000000,0.222065,0.363426,0.312500,0.000000,0.000000,0.217391,0.000000
openai,run1,Full,teammates,1.000000,0.745585,0.854252,0.594937,0.333333,0.602386,0.434783,0.000000
openai,run1,EntityOnly,teammates,1.000000,0.686921,0.814408,0.539474,0.333333,0.548201,0.369565,0.000000
openai,run1,CorefOnly,teammates,1.000000,0.214524,0.353264,0.209677,0.000000,0.000000,0.141304,0.000000
openai,run1,Full,bigbluebutton,0.861823,0.791367,0.825094,0.888889,0.500000,0.834990,0.866667,0.144983
openai,run1,EntityOnly,bigbluebutton,0.925164,0.735775,0.819672,0.829630,0.666667,0.830943,0.755556,0.105415
openai,run1,CorefOnly,bigbluebutton,0.523622,0.086985,0.149187,0.297872,0.000000,0.000000,0.177778,0.329696
openai,run1,Full,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,run1,EntityOnly,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,run1,CorefOnly,jabref,1.000000,0.117562,0.210390,0.086957,0.000000,0.000000,0.100000,0.000000
openai,run2,Full,mediastore,1.000000,0.796610,0.886792,0.962963,0.888889,0.977376,0.920000,0.000000
openai,run2,EntityOnly,mediastore,1.000000,0.694915,0.820000,0.901961,0.750000,0.927835,0.800000,0.000000
openai,run2,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.193548,0.000000,0.000000,0.120000,0.000000
openai,run2,Full,teastore,1.000000,0.930693,0.964103,0.961538,0.909091,0.967742,0.956522,0.000000
openai,run2,EntityOnly,teastore,1.000000,0.708628,0.829470,0.851064,0.666667,0.842105,0.739130,0.000000
